# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Dec 20 01:18:08 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	2.0000e+09 yr
	Z	log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	mbol	U	B	V	R	I	J	H	K	int_IMF	stage
	0.019000	9.3010	1.70396471	1.7039	1.1285	3.7023	3.3022	1.949	3.785	3.128	2.213	1.668	1.243	0.636	0.151	0.090	3.24890685	3
	0.019000	9.3010	1.70438313	1.7043	1.1690	3.6991	3.2490	1.847	3.741	3.056	2.126	1.573	1.141	0.523	0.030	-0.033	3.24894166	3
	0.019000	9.3010	1.70478380	1.7047	1.2112	3.6964	3.1958	1.742	3.688	2.977	2.034	1.473	1.036	0.408	-0.094	-0.157	3.24897504	3
	0.019000	9.3010	1.70517254	1.7051	1.2542	3.6937	3.1425	1.635	3.629	2.895	1.939	1.371	0.929	0.292	-0.218	-0.282	3.24900723	3
	0.019000	9.3010	1.70564544	1.7056	1.3083	3.6906	3.0760	1.499	3.552	2.790	1.819	1.243	0.794	0.146	-0.373	-0.438	3.24904656	3
	0.019000	9.3010	1.70602012	1.7059	1.3519	3.6881	3.0226	1.390	3.491	2.706	1.723	1.140	0.686	0.028	-0.497	-0.564	3.24907756	3
	0.019000	9.3010	1.70639336	1.7063	1.3951	3.6857	2.9698	1.282	3.431	2.623	1.628	1.038	0.579	-0.087	-0.620	-0.688	3.24910855	3
	0.019000	9.3010	1.70685935	1.7068	1.4478	3.6828	2.9056	1.151	3.356	2.520	1.511	0.914	0.449	-0.229	-0.769	-0.839	3.24914718	3
	0.019000	9.3010	1.70740855	1.7073	1.5103	3.6793	2.8292	0.994	3.270	2.399	1.374	0.767	0.295	-0.396	-0.947	-1.019	3.24919271	3
	0.019000	9.3010	1.70781171	1.7077	1.5571	3.6766	2.7716	0.877	3.210	2.311	1.273	0.658	0.180	-0.521	-1.081	-1.154	3.24922609	3
